_rg_o_entidade,v_nculo,cargo,escolaridade,vagas,publica_o_di_rio_oficial_da_uni_o_dou,link_publicacao_dou,tipo_de_autoriza_o,data_provimento,area_atuacao_governamental,norma_jur_dica,data_publicacao_dou,ano_da_publica_o,portaria_concurso,data_publicacao_portaria_concurso,unnamed_12,observacao,ato_oficial,link_da_publica_o_no_d_o_u_,_rea_de_atua_o_governamental
"Universidade Federal do Estado
do Rio de Janeiro - UNIRIO/IFES",MEC,Carreira Técnicos Classe E,Nível Superior,,,,ConcursoProvimento,,Social,Port. 217,2015-06-17,2015.0,Port. 217,,,SUSPENSO JUDICIALMENTE,,,
"Universidade Federal do Estado
do Rio de Janeiro - UNIRIO/IFES",MEC,Carreira Técnicos Classe D,Nível Superior,,,,ConcursoProvimento,,Social,Port. 217,2015-06-17,2015.0,Port. 217,,,SUSPENSO JUDICIALMENTE,,,
Fundação Nacional de Artes – FUNARTE,MinC,Administração e Planejamento,Nível Superior,,,,1º Provimento,,Social,Port. 232,2015-06-23,2015.0,Port. 313,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Assistente Administrativo,Nível Intermediário,,,,1º Provimento,,Social,Port. 232,2015-06-23,2015.0,Port. 313,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Assistente Financeiro,Nível Intermediário,,,,1º Provimento,,Social,Port. 232,2015-06-23,2015.0,Port. 313,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Assistente Técnico I,Nível Intermediário,,,,1º Provimento,,Social,Port. 232,2015-06-23,2015.0,Port. 313,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Cenógrafo,Nível Superior,,,,1º Provimento,,Social,Port. 232,2015-06-23,2015.0,Port. 313,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Contrarregra,Nível Intermediário,,,,1º Provimento,,Social,Port. 232,2015-06-23,2015.0,Port. 313,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Operacional Administrativo,Nível Intermediário,,,,1º Provimento,,Social,Port. 232,2015-06-23,2015.0,Port. 313,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Profissional de Artes Cênicas,Nível Superior,,,,1º Provimento,,Social,Port. 232,2015-06-23,2015.0,Port. 313,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Profissional Técnico Superior I,Nível Superior,,,,1º Provimento,,Social,Port. 232,2015-06-23,2015.0,Port. 313,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Profissional Técnico Superior II,Nível Superior,,,,1º Provimento,,Social,Port. 232,2015-06-23,2015.0,Port. 313,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Profissional Técnico Superior III,Nível Superior,,,,1º Provimento,,Social,Port. 232,2015-06-23,2015.0,Port. 313,,,,,,
Fundação Biblioteca Nacional – FBN,MinC,Bibliotecário,Nível Superior,,,,1º Provimento,,Social,Port. 234,2015-06-23,2015.0,Port. 340,,,,,,
Fundação Biblioteca Nacional – FBN,MinC,Técnico em Documentação I,Nível Intermediário,,,,1º Provimento,,Social,Port. 234,2015-06-23,2015.0,Port. 340,,,,,,
Agência Nacional de Saúde Suplementar - ANS,MS,Técnico em Regulação de Saúde Suplementar,Nível Intermediário,,,,Concurso Novo,,Social,Port. 235,2015-06-24,2015.0,Port. 235,,,,,,
Agência Nacional de Saúde Suplementar - ANS,MS,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Social,Port. 235,2015-06-24,2015.0,Port. 235,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 236,2015-06-24,2015.0,Port. 236,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Especialista em Regulação de Aviação Civil,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 236,2015-06-24,2015.0,Port. 236,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 236,2015-06-24,2015.0,Port. 236,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Técnico em Regulação de Aviação Civil,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 236,2015-06-24,2015.0,Port. 236,,,,,,
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis – ANP",MME,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 237,2015-06-24,2015.0,Port. 237,,,,,,
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis – ANP",MME,"Técnico em Regulação de Petróleo e Derivados, Álcool Combustível e Gás Natural",Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 237,2015-06-24,2015.0,Port. 237,,,,,,
Agência Nacional de Telecomunicações - ANATEL,MC,Especialista em Regulação de Serviços de Telecomunicações,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 238,2015-06-24,2015.0,Port. 556,,,,,,
Agência Nacional de Telecomunicações - ANATEL,MC,Técnico em Regulação de Serviços de Telecomunicações,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 238,2015-06-24,2015.0,Port. 556,,,,,,
Agência Nacional de Telecomunicações - ANATEL,MC,Analista Administrativo,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 238,2015-06-24,2015.0,Port. 556,,,,,,
Agência Nacional de Telecomunicações - ANATEL,MC,Técnico Administrativo,Nível Intermediário,,,,1º Provimento,,Infraestrutura,Port. 238,2015-06-24,2015.0,Port. 556,,,,,,
Agência Nacional de Transportes Aquaviários - ANTAQ,MT,Especialista em Regulação de Serviços de Transportes Aquaviários,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 239,2015-06-24,2015.0,Port. 022,,,,,,
Agência Nacional de Transportes Aquaviários - ANTAQ,MT,Analista Administrativo,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 239,2015-06-24,2015.0,Port. 022,,,,,,
Agência Nacional de Transportes Aquaviários - ANTAQ,MT,Técnico em Regulação de Serviços de Transportes Aquaviários,Nível Intermediário,,,,1º Provimento,,Infraestrutura,Port. 239,2015-06-24,2015.0,Port. 022,,,,,,
Agência Nacional de Transportes Aquaviários - ANTAQ,MT,Técnico Administrativo,Nível Intermediário,,,,1º Provimento,,Infraestrutura,Port. 239,2015-06-24,2015.0,Port. 022,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Tecnologista,Nível Superior,,,,1º Provimento,,Social,Port. 247,2015-06-29,2015.0,Port. 357,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Analista em Ciência e Tecnologia,Nível Superior,,,,1º Provimento,,Social,Port. 247,2015-06-29,2015.0,Port. 357,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,1º Provimento,,Social,Port. 247,2015-06-29,2015.0,Port. 357,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Técnico,Nível Intermediário,,,,1º Provimento,,Social,Port. 247,2015-06-29,2015.0,Port. 357,,,,,,
Banco Central do Brasil – BACEN,MF,Analista do Banco Central do Brasil,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 252,2015-06-29,2015.0,Port. 081,,,,,,
Banco Central do Brasil – BACEN,MF,Técnico do Banco Central do Brasil,Nível Intermediário,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 252,2015-06-29,2015.0,Port. 081,,,,,,
Banco Central do Brasil – BACEN,MF,Analista do Banco Central do Brasil,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 252,2015-06-29,2015.0,Port. 081,,,,,,
Banco Central do Brasil – BACEN,MF,Técnico do Banco Central do Brasil,Nível Intermediário,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 252,2015-06-29,2015.0,Port. 081,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Analista do Seguro Social,Nível Superior,,,,Adicional de até 50%,,Social,Port. 251,2015-06-29,2015.0,Port. 240,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Tecnico do Seguro Social,Nível Superior,,,,Concurso Novo,,Social,Port. 251,2015-06-29,2015.0,Port. 251,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Analista do Seguro Social,Nível Superior,,,,Concurso Novo,,Social,Port. 251,2015-06-29,2015.0,Port. 251,,,,,,
Ministério da Saúde – MS,MS,Tecnologista,Nível Superior,,,,1º Provimento,,Social,Port. 270,2015-07-13,2015.0,Port. 127,,,,,,
Fundação Instituto Brasileiro de Geografia e Estatística – IBGE,MP,"Analista de Planejamento, Gestão e Infraestrutura em Informações Geográficas e Estatísticas",Nível Superior,,,,ConcursoProvimento,,Desenvolvimento Econômico e Produtivo,Port. 302,2015-07-27,2015.0,Port. 302,,,,,,
Fundação Instituto Brasileiro de Geografia e Estatística – IBGE,MP,Tecnologista em Informações Geográficas e Estatísticas,Nível Superior,,,,ConcursoProvimento,,Desenvolvimento Econômico e Produtivo,Port. 302,2015-07-27,2015.0,Port. 302,,,,,,
Fundação Instituto Brasileiro de Geografia e Estatística – IBGE,MP,Técnico em Informações Geográficas e Estatísticas,Nível Intermediário,,,,ConcursoProvimento,,Desenvolvimento Econômico e Produtivo,Port. 302,2015-07-27,2015.0,Port. 302,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Docente de Magistério Superior,Nível Superior,,,,ConcursoProvimento,,Social,Port. 313,2015-08-05,2015.0,Port. 313,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Pesquisador,Nível Superior,,,,1º Provimento,,Social,Port. 325,2015-08-07,2015.0,Port. 357,,,,,,
Comando da Aeronáutica - COMAER,MD,Controlador de Tráfego Aéreo,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 415,2015-10-05,2015.0,Port. 254,,,,,,
Comando do Exército - CEX,MD,"Professor da Carreira de Ensino Básico, Técnico e Tecnológico",Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 416,2015-10-05,2015.0,Port. 633,,,,,,
Ministério da Fazenda – MF,MF,Analista de Finanças e Controle,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 417,2015-10-05,2015.0,Port. 552,,,,,,
Fundação Nacional do Índio - FUNAI,MJ,Indigenista Especializado,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 452,2015-10-22,2015.0,Port. 452,,Revoga a Portaria 085 de 22.04.2015.,,,,
Fundação Nacional do Índio - FUNAI,MJ,Engenheiro,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 452,2015-10-22,2015.0,Port. 452,,Revoga a Portaria 085 de 22.04.2015.,,,,
Fundação Nacional do Índio - FUNAI,MJ,Engenheiro Agrônomo,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 452,2015-10-22,2015.0,Port. 452,,Revoga a Portaria 085 de 22.04.2015.,,,,
Fundação Nacional do Índio - FUNAI,MJ,Contador,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 452,2015-10-22,2015.0,Port. 452,,Revoga a Portaria 085 de 22.04.2015.,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Policial Rodoviário Federal,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 533,2015-11-27,2015.0,Port. 100,,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Policial Rodoviário Federal,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 533,2015-11-27,2015.0,Port. 100,,,,,,
Departamento Penitenciário Nacional - DEPEN,MJ,Engenheiro,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 541,2015-12-02,2015.0,Port. 591,,,,,,
Ministério da Justiça – MJ,MJ,Administrador,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 541,2015-12-02,2015.0,Port. 592,,,,,,
Ministério da Justiça – MJ,MJ,Economista,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 541,2015-12-02,2015.0,Port. 592,,,,,,
Ministério da Ciência Tecnologia e Inovação - MCTI,MCTI,Analista em Ciência e Tecnologia,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 577,2015-12-15,2015.0,Port. 241,,,,,,
Ministério da Ciência Tecnologia e Inovação - MCTI,MCTI,Tecnologista,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 577,2015-12-15,2015.0,Port. 241,,,"O MAPA perdeu o prazo do concurso e o MP editou nova autorização pela Port. 435, no DOU de 18.11.2014.",,,
Ministério da Ciência Tecnologia e Inovação - MCTI,MCTI,Pesquisador,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 577,2015-12-15,2015.0,Port. 241,,,"O MAPA perdeu o prazo do concurso e o MP editou nova autorização pela Port. 435, no DOU de 18.11.2014.",,,
Fundação Escola Nacional de Administração Pública – ENAP,MP,Técnico em Assuntos Educacionais,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,"O MAPA perdeu o prazo do concurso e o MP editou nova autorização pela Port. 435, no DOU de 18.11.2014.",,,
Fundação Escola Nacional de Administração Pública – ENAP,MP,Técnico de Nível Superior,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,"O MAPA perdeu o prazo do concurso e o MP editou nova autorização pela Port. 435, no DOU de 18.11.2014.",,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Administrador,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,"O MAPA perdeu o prazo do concurso e o MP editou nova autorização pela Port. 435, no DOU de 18.11.2014.",,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista em Tecnologia da Informação,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista Técnico Administrativo,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Arquiteto,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Assistente Social,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Arquivista,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Contador,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Economista,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Engenheiro,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Geógrafo,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Geólogo,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Médico 20h,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Técnico em Assuntos Educacionais,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 611,2015-12-23,2015.0,Port. 456,,,,,,
Instituto do Patrimônio Histórico e Artístico Nacional – IPHAN,MinC,Analista,Nível Superior,,,,1º Provimento,,Social,Port. 008,2014-01-15,2014.0,Port. 060,,,,,,
Instituto do Patrimônio Histórico e Artístico Nacional – IPHAN,MinC,Auxiliar Institucional,Nível Intermediário,,,,1º Provimento,,Social,Port. 008,2014-01-15,2014.0,Port. 060,,,,,,
Hospital das Forças Armadas - HFA,MD,Médico 20h,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 009,2014-01-15,2014.0,Port. 009,,,,,,
Hospital das Forças Armadas - HFA,MD,Especialista em Atividades Hospitalares,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 009,2014-01-15,2014.0,Port. 009,,,,,,
Hospital das Forças Armadas - HFA,MD,Técnico em Atividades Médico-Hospitalares,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 009,2014-01-15,2014.0,Port. 009,,,,,,
Comando da Marinha - CMAR,MD,Professor de Magistério Superior,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 010,2014-01-15,2014.0,Port. 005,,,,,,
Comando da Aeronáutica - COMAER,MD,Professor de Magistério Superior,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 011,2014-01-15,2014.0,Port. 358,,,,,,
Ministério da Fazenda – MF,MF,Assistente Técnico-Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 014,2014-01-22,2014.0,Port. 207,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Pesquisador,Nível Superior,,,,Concurso Novo,,Social,Port. 015,2014-01-22,2014.0,Port. 015,,SUSPENSO JUDICIALMENTE,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Tecnologista,Nível Superior,,,,Concurso Novo,,Social,Port. 015,2014-01-22,2014.0,Port. 015,,SUSPENSO JUDICIALMENTE,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Analista em Ciência e Tecnologia,Nível Superior,,,,Concurso Novo,,Social,Port. 015,2014-01-22,2014.0,Port. 015,,SUSPENSO JUDICIALMENTE,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,Concurso Novo,,Social,Port. 015,2014-01-22,2014.0,Port. 015,,SUSPENSO JUDICIALMENTE,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Técnico,Nível Intermediário,,,,Concurso Novo,,Social,Port. 015,2014-01-22,2014.0,Port. 015,,SUSPENSO JUDICIALMENTE,,,,
Ministério da Fazenda – MF,MF,Analista de Finanças e Controle,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 017,2014-01-22,2014.0,Port. 552,,,,,,
Departamento Penitenciário Nacional - DEPEN,MJ,Analista Técnico Administrativo,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 018,2014-01-22,2014.0,Port. 591,,,,,,
Departamento Penitenciário Nacional - DEPEN,MJ,Engenheiro,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 018,2014-01-22,2014.0,Port. 591,,,,,,
Ministério da Justiça – MJ,MJ,Analista Técnico Administrativo,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 018,2014-01-22,2014.0,Port. 592,,,,,,
Ministério da Justiça – MJ,MJ,Administrador,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 018,2014-01-22,2014.0,Port. 592,,,,,,
